circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,BAKARAM,DOMESTIC,1,779,765.0,90165.0,1074.73
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,BEKARY PT,DOMESTIC,1,706,698.0,94003.0,1072.37
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,CTMTR,DOMESTIC,1,9,9.0,22516.0,222.68
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,GEMINI COLONY,DOMESTIC,1,1014,998.0,125286.0,1508.86
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,GRC HV MUSHEERABAD,DOMESTIC,1,9,9.0,4842.0,98.92
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,HARI NAGAR,DOMESTIC,1,925,912.0,98569.0,1265.03
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,KRISHNA COLONY,DOMESTIC,1,334,333.0,70619.0,1103.12
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,MEDIBAVI BASTHI,DOMESTIC,1,700,696.0,84403.0,1092.57
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,NAGAMAIAH KUNTA,DOMESTIC,1,545,479.0,41366.0,497.55
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,"LAXMI NAGAR, BHAZAR GHAT.",DOMESTIC,1,757,711.0,112408.0,1148.01
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,MANGARBASTI TO BADI MAJID MP. ,DOMESTIC,1,812,790.0,118605.0,1113.76
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,MOZAM PURA - FARAH,DOMESTIC,1,1141,1096.0,192812.0,2007.79
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,NAMPALLY HOSPITAL RD,DOMESTIC,1,532,471.0,71883.0,916.22
